IRS_Elements,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
10,34395.34488464672,32594.709154736753,43146.65934041717,37375.3619023748,89874.1324397584
15,46869.310161360816,47359.00098067351,50324.98321360165,40702.66567635483,98052.00054830039
20,47697.029622917304,55350.26835957813,58597.519479910996,42796.36373628373,108515.636627879
25,61084.78379950517,70964.62546224902,67433.72037012997,48981.112857814354,115455.18619592155
30,72060.11231072838,85003.99391957597,71235.69543877836,47095.21613002011,138039.1641168741
35,81660.41708516164,92204.03779487177,77771.44421934297,51219.834889838145,142519.7082714624
40,88036.21860395018,101337.22775546044,94457.47937675397,53006.12620893767,144639.5017452225
45,100060.22305651405,118171.57729878728,100831.28557580849,54885.650701997205,172863.67274230265
50,104229.06932728822,115052.38448128355,103508.2878200144,61126.03829169214,173550.9968061943
Fitness Improvement(%),31.269687299998665,39.11346240441496,34.48467926050808,0.0,63.060018877554
